Thème,Niveau autonomie,Libellé niveau,Palier,Nom de l'exercice,Objectif de l'exercice,Détail / étapes (guidance verbale),Ce que l'aidant peut faire,Ce que l'aidant ne doit pas faire,Durée indicative,Risques / contre-indications,Statut,Validé par (expert),Date validation,Commentaires expert
Se déplacer,A,Autonome,1,Marche autonome avec parcours varié,Maintenir la marche autonome sur un trajet plus long ou varié.,"1. ""Choisis ton trajet.""
2. ""Marche à ton rythme.""
3. ""Préviens-moi si tu as besoin d'une pause.""","Accompagner à distance, proposer un trajet.",Presser le pas ou tenir le bras en continu si non nécessaire.,10-15 minutes,"Aucun particulier, rester attentif à la fatigue.",Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Se déplacer,B,"Semi-autonome, aide technique, risque faible à modéré",1,Marche accompagnée avec aide technique (canne / déambulateur),Que votre proche marche avec son aide technique en autonomie relative.,"1. ""Vérifie que ta canne/déambulateur est bien réglé.""
2. ""Avance l'aide technique, puis fais un pas.""
3. ""Regarde devant toi, pas tes pieds.""","Marcher à côté sans soutenir le bras, surveiller le sol.",Retirer l'aide technique ou porter le poids de votre proche.,5-10 minutes,"Vérifier l'absence d'obstacles au sol (tapis, câbles).",Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Se déplacer,C,"Semi-autonome, aide humaine à proximité, risque élevé",1,"Franchir un seuil de porte en marchant, aide humaine proche",Que votre proche franchisse un obstacle simple avec supervision rapprochée.,"1. ""Arrête-toi devant le seuil.""
2. ""Lève bien le pied.""
3. ""Prends ton temps pour le deuxième pas.""","Se tenir à portée de bras, guider verbalement.",Laisser votre proche seul face à l'obstacle.,5 minutes,"Risque de chute au niveau du seuil, présence humaine obligatoire.",Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Se déplacer,D,Dépendant pour les transferts,1,Quelques pas avec transfert assisté au préalable,Conserver un temps de marche minimal malgré la dépendance pour les transferts.,"1. ""Je t'aide à te mettre debout.""
2. ""Fais un pas quand tu es prêt.""
3. ""On s'arrête dès que tu es fatigué.""","Réaliser le transfert selon la technique enseignée, rester en soutien constant.",Tenter un transfert ou une marche sans avoir appris le geste avec l'équipe.,2-3 minutes,"Ne jamais réaliser seul, toujours en présence d'un professionnel formé si transfert non maîtrisé.",Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Se déplacer,E,Grabataire / alité,1,,,,,,,,Non pertinent,,,"Patient alité : la marche n'est pas applicable à ce niveau. Voir le thème ""Mobilité au lit"" pour les mobilisations adaptées."
Fauteuil,A,Autonome,1,"Déplacement autonome en fauteuil, sur de plus longs trajets",Maintenir une propulsion autonome sur un trajet varié.,"1. ""Regarde où tu veux aller.""
2. ""Propulse à ton rythme.""
3. ""Préviens-moi si tu as besoin d'aide.""","Rester en simple observation, intervenir si sollicité.",Pousser le fauteuil sans que votre proche le demande.,10 minutes,Aucun particulier.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Fauteuil,B,"Semi-autonome, aide technique, risque faible à modéré",1,"Propulsion autonome sur trajet court, aidant à distance",Que votre proche propulse seul son fauteuil sur un trajet court.,"1. ""Pose tes mains en haut des roues.""
2. ""Pousse les deux mains ensemble vers l'avant.""
3. ""Lâche la roue en fin de geste.""","Rester à distance, encourager verbalement.",Pousser le fauteuil à sa place.,5 minutes,"Vérifier le sol (pas de tapis épais, obstacles).",Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Fauteuil,C,"Semi-autonome, aide humaine à proximité, risque élevé",1,Faire un demi-tour en fauteuil,Que votre proche réalise seul un changement de direction en sécurité.,"1. ""Regarde où tu veux aller.""
2. ""Bloque la roue droite avec ta main droite.""
3. ""Pousse uniquement sur la roue gauche.""
4. ""Vérifie que le passage est libre avant de continuer.""","Rester à côté, rappeler la consigne si hésitation.",Pousser le fauteuil à la place de votre proche.,5 minutes,Vérifier le verrouillage des roues avant le geste.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Fauteuil,D,Dépendant pour les transferts,1,Participer au transfert avec assistance complète,Participer activement au transfert malgré une dépendance.,"1. ""Je vais te guider, pousse sur tes jambes quand je te le dis.""
2. ""Prends appui sur l'accoudoir.""
3. ""On y va ensemble, à trois temps.""",Réaliser le transfert selon la technique enseignée avec le professionnel.,Réaliser seul un transfert non maîtrisé.,5 minutes,"Toujours suivre la technique validée par l'équipe, risque de chute élevé sinon.",Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Fauteuil,E,Grabataire / alité,1,"Mobilisation passive des membres en fauteuil roulant, aidé",Maintenir une mobilité passive minimale en position fauteuil/lit.,"1. ""Je vais bouger doucement ta jambe, dis-moi si ça tire.""
2. ""On fait de petits mouvements, sans forcer.""",Réaliser les mobilisations douces apprises avec l'équipe.,Forcer une amplitude non validée par le kinésithérapeute.,5-10 minutes,Respecter strictement l'amplitude et la fréquence validées par le professionnel.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Toilette / hygiène,A,Autonome,1,Toilette complète autonome au lavabo,Maintenir l'autonomie complète pour la toilette du visage et des mains.,"1. ""Installe-toi devant le lavabo.""
2. ""Fais couler l'eau à la bonne température.""
3. ""Lave-toi à ton rythme.""","Préparer le nécessaire de toilette, rester disponible.",Réaliser le geste à sa place.,10 minutes,Aucun particulier.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Toilette / hygiène,B,"Semi-autonome, aide technique, risque faible à modéré",1,"Se laver le visage et les mains assis, avec appui technique","Que votre proche réalise sa toilette du haut du corps assis, avec aide technique.","1. ""Assieds-toi bien stable.""
2. ""Prends le gant, mouille-le.""
3. ""Lave ton visage puis tes mains.""","Préparer l'eau et le gant, rester à proximité.",Réaliser le geste à sa place si votre proche peut le faire seul.,5-10 minutes,Vérifier la stabilité assise.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Toilette / hygiène,C,"Semi-autonome, aide humaine à proximité, risque élevé",1,Se laver le visage avec supervision rapprochée,Que votre proche réalise le geste avec une supervision de sécurité constante.,"1. ""Prends le gant humide.""
2. ""Passe-le sur ton visage doucement.""
3. ""Dis-moi si tu as besoin d'aide.""","Rester à portée de bras, stabiliser si besoin.",Laisser votre proche seul pendant le geste.,5 minutes,"Risque de perte d'équilibre assis, présence continue nécessaire.",Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Toilette / hygiène,D,Dépendant pour les transferts,1,Participer par un geste simple pendant la toilette assistée,Conserver un geste actif pendant une toilette majoritairement assistée.,"1. ""Je vais laver ton dos, peux-tu tenir le gant pour ton visage ?""
2. ""Essaie de frotter doucement.""",Solliciter la participation pour les gestes simples restants.,Solliciter un geste nécessitant un équilibre non maîtrisé.,Selon le soin,Suivre les consignes de l'équipe pour les zones à ne pas mobiliser.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Toilette / hygiène,E,Grabataire / alité,1,Participer par un contact et une communication pendant la toilette au lit,Maintenir un lien actif et un confort pendant la toilette réalisée au lit.,"1. ""Je vais commencer par tes mains, dis-moi si l'eau est trop fraîche ou trop chaude.""
2. ""Je continue doucement.""","Accompagner verbalement, vérifier le confort et la température.",Réaliser seul un soin d'hygiène complexe sans formation de l'équipe.,Selon le soin,Respecter le protocole d'hygiène de l'établissement.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Mobilité au lit,A,Autonome,1,,,,,,,,Non pertinent,,,"Patient autonome, non confiné au lit : voir les thèmes ""Se déplacer"" ou ""Fauteuil"" selon la situation."
Mobilité au lit,B,"Semi-autonome, aide technique, risque faible à modéré",1,Se retourner dans le lit avec appui du drap ou de la barrière,"Que votre proche se retourne seul en utilisant un appui technique (barrière, drap tendu).","1. ""Attrape la barrière avec ta main.""
2. ""Plie tes genoux.""
3. ""Tourne doucement en tirant sur la barrière.""","Proposer l'appui technique, encourager verbalement.",Tirer votre proche à sa place.,2-3 minutes,Vérifier que la barrière est bien fixée.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Mobilité au lit,C,"Semi-autonome, aide humaine à proximité, risque élevé",1,"Se redresser en position assise au bord du lit, aide à proximité","Que votre proche se redresse seul jusqu'à la position assise, sous supervision rapprochée.","1. ""Tourne-toi sur le côté.""
2. ""Pousse sur ton bras pour te redresser.""
3. ""Laisse tes jambes glisser hors du lit.""","Rester à portée de bras, stabiliser le buste si besoin.",Laisser votre proche seul pendant le geste.,3 minutes,"Risque de chute au bord du lit, présence obligatoire.",Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Mobilité au lit,D,Dépendant pour les transferts,1,Participer au repositionnement avec assistance complète,Conserver un geste actif (pousser sur les jambes) pendant un repositionnement assisté.,"1. ""Je vais te tourner, pousse un peu sur tes jambes quand je te le dis.""
2. ""Détends-toi entre les mouvements.""",Réaliser le repositionnement selon la technique enseignée.,Improviser une technique de mobilisation non apprise.,3-5 minutes,Suivre strictement la technique validée (risque pour le dos de l'aidant aussi).,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Mobilité au lit,E,Grabataire / alité,1,Changement de position régulier pour le confort,Prévenir les points d'appui prolongés et maintenir le confort de votre proche.,"1. ""Je vais tourner ton bassin doucement.""
2. ""Je place un coussin sous ton genou.""
3. ""Dis-moi si une position est inconfortable.""",Réaliser le changement de position selon la fréquence et la technique validées par l'équipe.,Modifier la fréquence recommandée sans en parler à l'équipe.,2-3 minutes,"Respecter strictement la technique (risque d'escarre si mal fait, risque pour le dos de l'aidant).",Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Communication,A,Autonome,1,Échanger sur un sujet du quotidien,Maintenir un lien de communication riche et stimulant.,"1. ""Choisis un sujet qui te plaît.""
2. ""Prends ton temps pour raconter.""
3. ""Je t'écoute sans te couper la parole.""","Poser des questions ouvertes, laisser le silence si besoin.",Finir les phrases à sa place.,Libre,Aucun particulier.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Communication,B,"Semi-autonome, aide technique, risque faible à modéré",1,Échanger avec des phrases courtes et un support visuel si besoin,"Soutenir une communication autonome avec un léger appui (support visuel, reformulation).","1. ""Pose une question simple.""
2. ""Laisse le temps de répondre.""
3. ""Utilise une image ou un objet si besoin pour aider.""","Proposer un support visuel, reformuler une question.",Répondre à la place de votre proche trop vite.,Libre,Aucun particulier.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Communication,C,"Semi-autonome, aide humaine à proximité, risque élevé",1,"Communiquer avec des phrases très courtes, une consigne à la fois",Maintenir un échange simple et rassurant malgré des difficultés de communication.,"1. ""Pose une seule question à la fois.""
2. ""Laisse un temps de réponse plus long.""
3. ""Valide ce que tu as compris avant de continuer.""","Reformuler, valider positivement chaque échange réussi.",Enchaîner plusieurs questions sans laisser le temps de répondre.,Libre,Veiller à ne pas fatiguer votre proche.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Communication,D,Dépendant pour les transferts,1,Communication par gestes ou regards en complément de la parole,"Maintenir un lien même si la parole est difficile, en s'appuyant sur d'autres canaux.","1. ""Pose une question à réponse oui/non.""
2. ""Observe le regard ou un geste de réponse.""
3. ""Confirme ce que tu as compris.""","Utiliser le toucher, le regard, un support de communication validé par l'équipe (pictogrammes).",Interpréter une réponse sans la confirmer.,Libre,Aucun particulier.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Communication,E,Grabataire / alité,1,Maintenir un lien sensoriel et affectif,Préserver un lien relationnel même en l'absence de communication verbale active.,"1. ""Parle doucement en te présentant.""
2. ""Prends sa main si le contact est apprécié.""
3. ""Laisse des silences, pas besoin de parler en continu.""","Utiliser la voix, le toucher doux, la musique si appréciée.",Forcer une réaction ou s'inquiéter de l'absence de réponse visible.,Libre,Vérifier les préférences sensorielles avec l'équipe.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Mémoire / attention,A,Autonome,1,Petit jeu de mémoire ou d'attention du quotidien,Stimuler la mémoire et l'attention de façon ludique et autonome.,"1. ""Propose un petit jeu (mots croisés, quiz, souvenirs).""
2. ""Laisse-le chercher sans donner la réponse tout de suite.""
3. ""Valorise chaque réussite.""",Proposer une activité adaptée aux goûts de votre proche.,Donner la réponse trop vite par impatience.,10-15 minutes,Aucun particulier.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Mémoire / attention,B,"Semi-autonome, aide technique, risque faible à modéré",1,Exercice de mémoire avec indice si besoin,Stimuler la mémoire avec un léger soutien si nécessaire.,"1. ""Pose une question simple (ex: un souvenir récent).""
2. ""Laisse chercher.""
3. ""Donne un indice seulement si besoin.""","Donner un indice léger, valoriser l'effort plus que le résultat.",Corriger de façon négative en cas d'erreur.,10 minutes,Aucun particulier.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Mémoire / attention,C,"Semi-autonome, aide humaine à proximité, risque élevé",1,Exercice d'attention courte et guidée,Maintenir une stimulation cognitive légère et rassurante.,"1. ""Propose une tâche très simple et courte (ex: trier des objets).""
2. ""Guide étape par étape.""
3. ""Félicite chaque étape réussie.""","Guider pas à pas, arrêter dès que la fatigue apparaît.",Insister si votre proche montre des signes de frustration.,5-10 minutes,Arrêter l'exercice en cas de signe de fatigue ou de frustration.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Mémoire / attention,D,Dépendant pour les transferts,1,Stimulation sensorielle et de reconnaissance,Maintenir un lien cognitif simple malgré une dépendance physique importante.,"1. ""Montre une photo ou un objet familier.""
2. ""Demande simplement : tu reconnais ?""
3. ""Valorise toute réaction, même minime.""","Utiliser des objets/photos familiers, laisser du temps.",Multiplier les questions si votre proche semble fatigué.,5-10 minutes,Aucun particulier.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Mémoire / attention,E,Grabataire / alité,1,"Stimulation sensorielle douce (voix, musique, toucher)",Maintenir un éveil sensoriel et relationnel léger.,"1. ""Parle doucement en donnant des nouvelles simples.""
2. ""Propose une musique appréciée si possible.""
3. ""Observe les réactions (mouvement des yeux, expression).""","Utiliser la voix, la musique, le toucher doux, sans attente de réponse active.",Solliciter une réponse cognitive complexe.,5-10 minutes,Vérifier les préférences sensorielles et contre-indications avec l'équipe (ex: fatigabilité).,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
S'habiller,B,"Semi-autonome, aide technique, risque faible à modéré",2,Boutonner une chemise ou un gilet assis,Que votre proche boutonne seul quelques boutons en position assise stable.,"1. ""Assieds-toi bien au fond de la chaise.""
2. ""Prends le bouton et l'ouverture face à toi.""
3. ""Passe le bouton lentement, un seul à la fois.""","Présenter le vêtement, encourager, stabiliser le tissu si besoin.",Boutonner à sa place pour aller plus vite.,5 minutes,Arrêter si douleur aux doigts ou fatigue importante.,Validé,Référentiel APA (publication catalogue),2026-08-02,Palier 2 — ajout catalogue 50
S'habiller,C,"Semi-autonome, aide humaine à proximité, risque élevé",2,Enfiler des chaussures assis avec supervision,"Que votre proche enfile une paire de chaussures assis, avec vous à proximité.","1. ""Assieds-toi bien, pieds au sol.""
2. ""Passe le pied dans la chaussure.""
3. ""Aide-toi du talon ou du chausse-pied si besoin.""","Tendre la chaussure, rester à portée, guider à la voix.",Forcer le pied dans la chaussure.,5 minutes,Risque de bascule en avant — rester proche.,Validé,Référentiel APA (publication catalogue),2026-08-02,Palier 2 — ajout catalogue 50
Manger,B,"Semi-autonome, aide technique, risque faible à modéré",2,Boire seul avec un verre adapté,Que votre proche boive seul en toute sécurité avec le verre adapté.,"1. ""Prends ton verre à deux mains si c'est plus stable.""
2. ""Bois une petite gorgée.""
3. ""Repose le verre avant de reprendre.""","Remplir partiellement le verre, rester disponible.",Porter le verre à sa bouche à sa place.,Pendant le repas,Respecter les consignes de texture/liquides de l'équipe.,Validé,Référentiel APA (publication catalogue),2026-08-02,Palier 2 — ajout catalogue 50
Manger,C,"Semi-autonome, aide humaine à proximité, risque élevé",2,Couper un aliment mou avec supervision,"Que votre proche coupe un aliment déjà tendre, sous votre supervision.","1. ""Stabilise l'aliment avec la fourchette.""
2. ""Coupe un petit morceau.""
3. ""Pose le couteau entre chaque découpe si tu es fatigué.""","Préparer un aliment mou, rester à côté.",Couper tout le plat sans laisser essayer.,5 minutes,Pas d'aliments durs ; couvert adapté si prescrit.,Validé,Référentiel APA (publication catalogue),2026-08-02,Palier 2 — ajout catalogue 50
Se déplacer,B,"Semi-autonome, aide technique, risque faible à modéré",2,Faire demi-tour en marchant avec aide technique,Que votre proche change de direction en marchant avec son aide technique.,"1. ""Arrête-toi un instant.""
2. ""Tourne doucement avec ta canne / ton déambulateur.""
3. ""Vérifie que le passage est libre avant de repartir.""","Marcher du côté le plus sûr, rappeler la consigne.",Tourner votre proche par les épaules sans prévenir.,5 minutes,"Sol dégagé, chaussures adaptées.",Validé,Référentiel APA (publication catalogue),2026-08-02,Palier 2 — ajout catalogue 50
Se déplacer,C,"Semi-autonome, aide humaine à proximité, risque élevé",2,Marcher un couloir court avec supervision rapprochée,Que votre proche marche quelques mètres avec vous à portée de bras.,"1. ""Regarde devant toi.""
2. ""Fais un pas après l'autre, sans te presser.""
3. ""On s'arrête dès que tu veux.""","Rester à portée de bras, proposer une pause.",Laisser votre proche seul dans le couloir.,3-5 minutes,Présence humaine obligatoire ; siège de repos à proximité.,Validé,Référentiel APA (publication catalogue),2026-08-02,Palier 2 — ajout catalogue 50
Fauteuil,C,"Semi-autonome, aide humaine à proximité, risque élevé",2,Franchir un léger seuil de porte en fauteuil avec supervision,"Que votre proche franchisse un petit seuil en fauteuil, en sécurité.","1. ""Arrête-toi devant le seuil.""
2. ""Recule un peu puis aborde le seuil droit.""
3. ""Pousse fort et d'un coup, je reste à côté.""","Stabiliser le fauteuil si besoin, guider à la voix.",Pousser le fauteuil à sa place sans prévenir.,5 minutes,Seuil léger uniquement ; présence obligatoire.,Validé,Référentiel APA (publication catalogue),2026-08-02,Palier 2 — ajout catalogue 50
Fauteuil,D,Dépendant pour les transferts,2,Initier le mouvement de transfert avant l'aide,Que votre proche commence le geste de transfert avant que vous complétiez l'aide.,"1. ""Avance un peu sur le bord du siège.""
2. ""Pose tes pieds bien à plat.""
3. ""Sur mon signal, penche-toi et commence le mouvement — je t'aide ensuite.""",Compléter le transfert avec la technique enseignée.,Improviser une technique non enseignée.,5 minutes,Uniquement si le transfert a été enseigné par l'équipe.,Validé,Référentiel APA (publication catalogue),2026-08-02,Palier 2 — ajout catalogue 50
Toilette / hygiène,B,"Semi-autonome, aide technique, risque faible à modéré",2,Se brosser les dents assis avec appui,"Que votre proche réalise le brossage des dents assis, avec un appui stable.","1. ""Assieds-toi bien devant le lavabo.""
2. ""Prends ta brosse et mets un peu de dentifrice.""
3. ""Brosse doucement, en haut puis en bas.""","Préparer le matériel, rester à proximité.",Brosser à sa place d'emblée.,3-5 minutes,Attention à la déglutition du dentifrice si consignes spécifiques.,Validé,Référentiel APA (publication catalogue),2026-08-02,Palier 2 — ajout catalogue 50
Mobilité au lit,C,"Semi-autonome, aide humaine à proximité, risque élevé",2,Se coucher depuis la position assise au bord du lit,Que votre proche se recouche depuis le bord du lit avec votre aide verbale et proximité.,"1. ""Assieds-toi au bord, pieds au sol.""
2. ""Pose ton coude puis ton épaule sur le matelas.""
3. ""Fais glisser tes jambes sur le lit, doucement.""","Guider les jambes si besoin, sécuriser le bord.",Tirer par les bras pour allonger votre proche.,5 minutes,Hauteur de lit adaptée ; présence rapprochée.,Validé,Référentiel APA (publication catalogue),2026-08-02,Palier 2 — ajout catalogue 50
Communication,B,"Semi-autonome, aide technique, risque faible à modéré",2,Demander de l'aide avec des mots simples,Que votre proche formule une demande d'aide courte et claire.,"1. ""Dis-moi ce dont tu as besoin en une phrase.""
2. ""Tu peux dire : j'ai besoin d'aide pour…""
3. ""Répète si je n'ai pas bien compris.""","Attendre, reformuler, proposer un mot si blocage.",Parler à sa place ou enchaîner les questions.,5 minutes,Éviter la mise en échec ; une consigne à la fois.,Validé,Référentiel APA (publication catalogue),2026-08-02,Palier 2 — ajout catalogue 50
Mémoire / attention,B,"Semi-autonome, aide technique, risque faible à modéré",2,Retrouver un objet du quotidien avec indices,Que votre proche retrouve un objet usuel grâce à des indices simples.,"1. ""On cherche ton [objet], il est dans cette pièce.""
2. ""Regarde du côté de…""
3. ""Prends-le quand tu l'as trouvé.""","Donner un indice progressif, féliciter l'essai.",Multiplier les objets ou chronométrer de façon stressante.,5 minutes,"Activité légère, sans enjeu médical.",Validé,Référentiel APA (publication catalogue),2026-08-02,Palier 2 — ajout catalogue 50
Épaules et bras,A,Autonome,1,Lever les bras au plafond en douceur,Que votre proche lève les bras au-dessus de la tête sans forcer.,"1. ""Assieds-toi bien au fond de ta chaise.""
2. ""Lève un bras vers le plafond, tout doucement.""
3. ""Redescends lentement.""
4. ""Fais la même chose avec l'autre bras.""","Encourager, compter les mouvements à voix haute.",Forcer le bras si votre proche a mal ; tirer sur le bras.,5 minutes,Arrêter si douleur d'épaule ou vertige.,Validé,Référentiel APA (publication catalogue),2026-08-02,Zone corporelle — Camille APA
Épaules et bras,B,"Semi-autonome, aide technique, risque faible à modéré",1,Ouvrir les bras sur les côtés avec appui,Que votre proche ouvre les bras horizontalement en restant stable.,"1. ""Tiens-toi bien sur ta chaise.""
2. ""Ouvre les bras comme des ailes, sans aller trop haut.""
3. ""Reviens doucement les bras le long du corps.""
4. ""Recommence deux ou trois fois.""","Rester à côté, rappeler de ne pas bloquer la respiration.",Tirer les bras vers l'arrière ; continuer si douleur.,5 minutes,Surveiller l'équilibre assis ; douleur d'épaule.,Validé,Référentiel APA (publication catalogue),2026-08-02,Zone corporelle — Camille APA
